text_chunk
"Supplier Summary: Almaral Steel FZC | ID: SUP-072 | Region: EMEA | Country: UAE | Tier: Tier-2 | Risk Level: Medium | Compliance Score: 86 | Sustainability Score: 63 | Avg OTD Rate: 85.7% | Avg Defect Rate: 1.74% | Total PO Value: $9,330,113.92 | Total POs: 17 | Certifications: ISO9001 | Active Disruptions: Port congestion risk; Political instability flag; Regulatory audit pending; Currency volatility flag; Geopolitical tension flag; Audit overdue; compliance review; Tariff adjustment pending; Regulatory enforcement pending; Port closure risk"
"Supplier Summary: Braccio Metalli SpA | ID: SUP-067 | Region: EMEA | Country: Italy | Tier: Tier-2 | Risk Level: Medium | Compliance Score: 74 | Sustainability Score: 84 | Avg OTD Rate: 86.3% | Avg Defect Rate: 1.79% | Total PO Value: $9,625,790.67 | Total POs: 17 | Certifications: ISO9001;NADCAP | Active Disruptions: Regulatory audit pending; Currency volatility flag; Port congestion risk; Audit overdue; compliance review; Geopolitical tension flag"
"Supplier Summary: Broken Hill Alloys | ID: SUP-044 | Region: APAC | Country: Australia | Tier: Tier-1 | Risk Level: Low | Compliance Score: 88 | Sustainability Score: 94 | Avg OTD Rate: 93.8% | Avg Defect Rate: 0.55% | Total PO Value: $2,124,588.35 | Total POs: 17 | Certifications: ISO9001;NADCAP | Active Disruptions: Geopolitical tension flag; Political instability flag; Seasonal flood risk; Port closure risk"
"Supplier Summary: Buenos Aires Pack | ID: SUP-092 | Region: LATAM | Country: Argentina | Tier: Tier-3 | Risk Level: Low | Compliance Score: 54 | Sustainability Score: 31 | Avg OTD Rate: 72.4% | Avg Defect Rate: 2.52% | Total PO Value: $1,439,440.11 | Total POs: 17 | Certifications: ISO9001 | Active Disruptions: Port congestion risk; Regulatory audit pending; Audit overdue; compliance review; Labour strike risk; Regulatory enforcement pending; Seasonal flood risk; Port closure risk; Export license risk; Typhoon season disruption"
"Supplier Summary: Busan Pack Corp | ID: SUP-027 | Region: APAC | Country: South Korea | Tier: Tier-2 | Risk Level: High | Compliance Score: 92 | Sustainability Score: 59 | Avg OTD Rate: 88.2% | Avg Defect Rate: 1.98% | Total PO Value: $864,414.12 | Total POs: 18 | Certifications: FSC;ISO9001 | Active Disruptions: Port closure risk; Tariff adjustment pending; Audit overdue; compliance review; Export license risk; Labour strike risk; Typhoon season disruption; Regulatory audit pending"
"Supplier Summary: Caribou Alloy Works | ID: SUP-115 | Region: nan | Country: Canada | Tier: Tier-2 | Risk Level: Low | Compliance Score: 83 | Sustainability Score: 83 | Avg OTD Rate: 87.0% | Avg Defect Rate: 1.70% | Total PO Value: $11,752,037.57 | Total POs: 17 | Certifications: ISO9001;NADCAP | Active Disruptions: Port congestion risk; Seasonal flood risk; Geopolitical tension flag; Regulatory audit pending; Labour strike risk; Currency volatility flag; Tariff adjustment pending"
"Supplier Summary: Cascade Pack Corp | ID: SUP-107 | Region: AMER | Country: USA | Tier: Tier-1 | Risk Level: High | Compliance Score: 99 | Sustainability Score: 95 | Avg OTD Rate: 92.8% | Avg Defect Rate: 0.90% | Total PO Value: $224,798.27 | Total POs: 17 | Certifications: FSC;ISO14001;ISO9001 | Active Disruptions: Regulatory enforcement pending; Port closure risk; Currency volatility flag; Port congestion risk; Geopolitical tension flag; Regulatory audit pending; Tariff adjustment pending"
"Supplier Summary: Catalan Pack SA | ID: SUP-070 | Region: EMEA | Country: Spain | Tier: Tier-2 | Risk Level: Medium | Compliance Score: 69 | Sustainability Score: 63 | Avg OTD Rate: 86.9% | Avg Defect Rate: 1.82% | Total PO Value: $733,839.09 | Total POs: 17 | Certifications: FSC;ISO9001 | Active Disruptions: Port closure risk; Port congestion risk; Currency volatility flag; Regulatory audit pending; Geopolitical tension flag; Regulatory enforcement pending; Labour strike risk"
"Supplier Summary: Cerromax Mineria | ID: SUP-095 | Region: LATAM | Country: Peru | Tier: Tier-3 | Risk Level: High | Compliance Score: 53 | Sustainability Score: 30 | Avg OTD Rate: 72.4% | Avg Defect Rate: 3.03% | Total PO Value: $7,195,951.77 | Total POs: 17 | Certifications: ISO9001 | Active Disruptions: Audit overdue; compliance review; Port closure risk; Port congestion risk; Tariff adjustment pending; Regulatory audit pending; Regulatory enforcement pending; Political instability flag; Seasonal flood risk"
"Supplier Summary: ChaoPhaya Pack | ID: SUP-040 | Region: APAC | Country: Thailand | Tier: Tier-2 | Risk Level: Medium | Compliance Score: 79 | Sustainability Score: 74 | Avg OTD Rate: 87.9% | Avg Defect Rate: 1.51% | Total PO Value: $1,059,383.66 | Total POs: 17 | Certifications: FSC;ISO9001 | Active Disruptions: Regulatory audit pending; Tariff adjustment pending; Seasonal flood risk; Geopolitical tension flag; Port congestion risk"
"Supplier Summary: Cobre del Sur SA | ID: SUP-098 | Region: LATAM | Country: Chile | Tier: Tier-2 | Risk Level: Medium | Compliance Score: 73 | Sustainability Score: 70 | Avg OTD Rate: 88.5% | Avg Defect Rate: 1.76% | Total PO Value: $6,733,948.91 | Total POs: 17 | Certifications: ISO9001 | Active Disruptions: Seasonal flood risk; Port closure risk; Regulatory audit pending; Geopolitical tension flag; Audit overdue; compliance review; Tariff adjustment pending; Port congestion risk"
"Supplier Summary: Crestline Chemical Supply | ID: SUP-102 | Region: AMER | Country: USA | Tier: Tier-1 | Risk Level: Low | Compliance Score: 87 | Sustainability Score: 92 | Avg OTD Rate: 93.7% | Avg Defect Rate: 0.93% | Total PO Value: $1,578,038.84 | Total POs: 17 | Certifications: ISO9001;ISO14001;OSHA | Active Disruptions: Audit overdue; compliance review; Geopolitical tension flag; Seasonal flood risk"
"Supplier Summary: DaNang Metal Works | ID: SUP-022 | Region: APAC | Country: Vietnam | Tier: Tier-3 | Risk Level: High | Compliance Score: 54 | Sustainability Score: 52 | Avg OTD Rate: 72.5% | Avg Defect Rate: 2.89% | Total PO Value: $2,771,851.75 | Total POs: 18 | Certifications: ISO9001 | Active Disruptions: Typhoon season disruption; Regulatory enforcement pending; Port closure risk; Audit overdue; compliance review; Tariff adjustment pending; Currency volatility flag; Labour strike risk; Regulatory audit pending; Port congestion risk"
"Supplier Summary: Deccan Polymer Mfg | ID: SUP-014 | Region: APAC | Country: India | Tier: Tier-3 | Risk Level: Low | Compliance Score: 57 | Sustainability Score: 30 | Avg OTD Rate: 73.2% | Avg Defect Rate: 2.65% | Total PO Value: $7,223,092.80 | Total POs: 18 | Certifications: ISO9001 | Active Disruptions: Seasonal flood risk; Currency volatility flag; Port congestion risk; Tariff adjustment pending; Labour strike risk; Typhoon season disruption; Political instability flag; Regulatory enforcement pending; Geopolitical tension flag"
"Supplier Summary: Deltaforge Vietnam | ID: SUP-018 | Region: APAC | Country: Vietnam | Tier: Tier-3 | Risk Level: Medium | Compliance Score: 62 | Sustainability Score: 33 | Avg OTD Rate: 73.0% | Avg Defect Rate: 2.61% | Total PO Value: $3,060,089.67 | Total POs: 18 | Certifications: ISO9001 | Active Disruptions: Port congestion risk; Tariff adjustment pending; Seasonal flood risk; Regulatory audit pending; Labour strike risk; Audit overdue; compliance review; Export license risk; Port closure risk"
"Supplier Summary: Dongfeng Castings Co | ID: SUP-006 | Region: APAC | Country: China | Tier: Tier-2 | Risk Level: Low | Compliance Score: 81 | Sustainability Score: 72 | Avg OTD Rate: 86.6% | Avg Defect Rate: 1.82% | Total PO Value: $2,186,462.26 | Total POs: 18 | Certifications: ISO9001;IATF16949 | Active Disruptions: Port congestion risk; Regulatory enforcement pending; Labour strike risk; Geopolitical tension flag; Audit overdue; compliance review; Export license risk"
"Supplier Summary: Dravex Components India | ID: SUP-011 | Region: APAC | Country: India | Tier: Tier-3 | Risk Level: High | Compliance Score: 74 | Sustainability Score: 63 | Avg OTD Rate: 72.3% | Avg Defect Rate: 3.27% | Total PO Value: $3,236,970.20 | Total POs: 18 | Certifications: ISO9001 | Active Disruptions: Typhoon season disruption; Geopolitical tension flag; Audit overdue; compliance review; Port congestion risk; Port closure risk; Regulatory enforcement pending; Political instability flag; Regulatory audit pending; Seasonal flood risk"
"Supplier Summary: Dresdner Textilwerk | ID: SUP-050 | Region: EMEA | Country: Germany | Tier: Tier-2 | Risk Level: Medium | Compliance Score: 85 | Sustainability Score: 71 | Avg OTD Rate: 85.5% | Avg Defect Rate: 1.76% | Total PO Value: $1,890,839.73 | Total POs: 17 | Certifications: OEKO-TEX;ISO9001 | Active Disruptions: Port congestion risk; Regulatory audit pending; Political instability flag; Export license risk; Geopolitical tension flag; Tariff adjustment pending"
"Supplier Summary: Dubai Pack FZE | ID: SUP-073 | Region: EMEA | Country: UAE | Tier: Tier-2 | Risk Level: High | Compliance Score: 81 | Sustainability Score: 70 | Avg OTD Rate: 86.7% | Avg Defect Rate: 1.84% | Total PO Value: $1,238,050.32 | Total POs: 17 | Certifications: FSC;ISO9001 | Active Disruptions: Political instability flag; Tariff adjustment pending; Port congestion risk; Export license risk; Typhoon season disruption; Regulatory audit pending; Port closure risk; Geopolitical tension flag; Regulatory enforcement pending"
"Supplier Summary: Elsinor Pack AS | ID: SUP-063 | Region: EMEA | Country: Denmark | Tier: Tier-2 | Risk Level: High | Compliance Score: 84 | Sustainability Score: 56 | Avg OTD Rate: 87.8% | Avg Defect Rate: 1.85% | Total PO Value: $914,050.56 | Total POs: 17 | Certifications: FSC;ISO9001 | Active Disruptions: Political instability flag; Regulatory audit pending; Regulatory enforcement pending; Audit overdue; compliance review; Port congestion risk; Tariff adjustment pending; Geopolitical tension flag; Typhoon season disruption"
"Supplier Summary: Fenwick Alloy Solutions | ID: SUP-103 | Region: AMER | Country: USA | Tier: Tier-1 | Risk Level: Low | Compliance Score: 90 | Sustainability Score: 72 | Avg OTD Rate: 94.0% | Avg Defect Rate: 0.96% | Total PO Value: $2,944,011.89 | Total POs: 17 | Certifications: ISO9001;NADCAP;AS9100 | Active Disruptions: Port congestion risk; Regulatory audit pending; Labour strike risk; Tariff adjustment pending"
"Supplier Summary: Ferralux Gulf FZE | ID: SUP-071 | Region: EMEA | Country: UAE | Tier: Tier-2 | Risk Level: High | Compliance Score: 68 | Sustainability Score: 68 | Avg OTD Rate: 87.9% | Avg Defect Rate: 1.84% | Total PO Value: $9,525,326.57 | Total POs: 17 | Certifications: ISO9001;ISO14001 | Active Disruptions: Port closure risk; Regulatory audit pending; Currency volatility flag; Labour strike risk; Regulatory enforcement pending; Tariff adjustment pending; Seasonal flood risk"
"Supplier Summary: Fjord Polymer AS | ID: SUP-059 | Region: EMEA | Country: Norway | Tier: Tier-1 | Risk Level: Low | Compliance Score: 90 | Sustainability Score: 89 | Avg OTD Rate: 93.3% | Avg Defect Rate: 0.97% | Total PO Value: $1,391,817.88 | Total POs: 17 | Certifications: ISO9001;ISO14001;REACH | Active Disruptions: Port closure risk; Seasonal flood risk; Export license risk; Tariff adjustment pending"
"Supplier Summary: Formosa Circuit Co | ID: SUP-034 | Region: APAC | Country: Taiwan | Tier: Tier-1 | Risk Level: Low | Compliance Score: 99 | Sustainability Score: 80 | Avg OTD Rate: 92.6% | Avg Defect Rate: 1.05% | Total PO Value: $912,811.76 | Total POs: 17 | Certifications: ISO9001;AEC-Q100;RoHS | Active Disruptions: Regulatory enforcement pending; Typhoon season disruption; Audit overdue; compliance review; Geopolitical tension flag"
"Supplier Summary: Guadalajara Mold Co | ID: SUP-087 | Region: LATAM | Country: Mexico | Tier: Tier-2 | Risk Level: Low | Compliance Score: 86 | Sustainability Score: 81 | Avg OTD Rate: 84.8% | Avg Defect Rate: 2.06% | Total PO Value: $2,136,677.95 | Total POs: 17 | Certifications: ISO9001;IATF16949 | Active Disruptions: Tariff adjustment pending; Port congestion risk; Geopolitical tension flag; Typhoon season disruption"
"Supplier Summary: Gulf Coast Mech | ID: SUP-109 | Region: AMER | Country: USA | Tier: Tier-2 | Risk Level: Low | Compliance Score: 73 | Sustainability Score: 86 | Avg OTD Rate: 85.7% | Avg Defect Rate: 1.92% | Total PO Value: $2,815,562.74 | Total POs: 17 | Certifications: ISO9001;IATF16949 | Active Disruptions: Tariff adjustment pending; Export license risk; Typhoon season disruption; Currency volatility flag; Seasonal flood risk; Political instability flag"
"Supplier Summary: Hangang Steel Parts | ID: SUP-026 | Region: APAC | Country: South Korea | Tier: Tier-2 | Risk Level: Low | Compliance Score: 68 | Sustainability Score: 70 | Avg OTD Rate: 85.5% | Avg Defect Rate: 1.98% | Total PO Value: $2,426,635.76 | Total POs: 18 | Certifications: ISO9001;IATF16949 | Active Disruptions: Port congestion risk; Port closure risk; Seasonal flood risk; Geopolitical tension flag; Tariff adjustment pending; Typhoon season disruption; Labour strike risk"
"Supplier Summary: Hanguk Circuit Works | ID: SUP-023 | Region: APAC | Country: South Korea | Tier: Tier-1 | Risk Level: Low | Compliance Score: 84 | Sustainability Score: 78 | Avg OTD Rate: 94.2% | Avg Defect Rate: 1.15% | Total PO Value: $1,110,894.35 | Total POs: 18 | Certifications: ISO9001;AEC-Q100 | Active Disruptions: Regulatory audit pending; Audit overdue; compliance review; Tariff adjustment pending; Port congestion risk; Seasonal flood risk; Port closure risk"
"Supplier Summary: HanoiTex Industries | ID: SUP-021 | Region: APAC | Country: Vietnam | Tier: Tier-2 | Risk Level: Low | Compliance Score: 75 | Sustainability Score: 73 | Avg OTD Rate: 86.0% | Avg Defect Rate: 1.72% | Total PO Value: $1,873,122.00 | Total POs: 18 | Certifications: OEKO-TEX;ISO9001 | Active Disruptions: Audit overdue; compliance review; Seasonal flood risk; Tariff adjustment pending; Port closure risk; Political instability flag; Regulatory audit pending; Currency volatility flag"
"Supplier Summary: Helios Pack Greece | ID: SUP-079 | Region: EMEA | Country: Greece | Tier: Tier-3 | Risk Level: High | Compliance Score: 60 | Sustainability Score: 44 | Avg OTD Rate: 75.9% | Avg Defect Rate: 2.71% | Total PO Value: $1,287,023.57 | Total POs: 17 | Certifications: ISO9001 | Active Disruptions: Labour strike risk; Currency volatility flag; Audit overdue; compliance review; Export license risk; Regulatory enforcement pending; Geopolitical tension flag; Port congestion risk; Typhoon season disruption; Regulatory audit pending"
"Supplier Summary: Helsinki Pack Oy | ID: SUP-061 | Region: EMEA | Country: Finland | Tier: Tier-2 | Risk Level: Medium | Compliance Score: 72 | Sustainability Score: 69 | Avg OTD Rate: 84.9% | Avg Defect Rate: 1.54% | Total PO Value: $694,215.92 | Total POs: 17 | Certifications: FSC;ISO9001 | Active Disruptions: Seasonal flood risk; Regulatory audit pending; Typhoon season disruption; Port closure risk; Regulatory enforcement pending; Port congestion risk; Political instability flag"
"Supplier Summary: Hokkaido Alloy Tech | ID: SUP-028 | Region: APAC | Country: Japan | Tier: Tier-1 | Risk Level: Low | Compliance Score: 81 | Sustainability Score: 97 | Avg OTD Rate: 94.1% | Avg Defect Rate: 0.97% | Total PO Value: $3,795,087.29 | Total POs: 18 | Certifications: ISO9001;NADCAP;AS9100 | Active Disruptions: Typhoon season disruption; Currency volatility flag; Audit overdue; compliance review; Regulatory audit pending"
"Supplier Summary: Huabei Circuit Systems | ID: SUP-005 | Region: APAC | Country: China | Tier: Tier-1 | Risk Level: Medium | Compliance Score: 94 | Sustainability Score: 90 | Avg OTD Rate: 93.7% | Avg Defect Rate: 0.94% | Total PO Value: $908,603.80 | Total POs: 18 | Certifications: ISO9001;AEC-Q100;RoHS | Active Disruptions: Geopolitical tension flag; Tariff adjustment pending; Regulatory audit pending; Seasonal flood risk"
"Supplier Summary: Ibervex Quimica SL | ID: SUP-069 | Region: EMEA | Country: Spain | Tier: Tier-2 | Risk Level: Medium | Compliance Score: 75 | Sustainability Score: 69 | Avg OTD Rate: 87.6% | Avg Defect Rate: 1.69% | Total PO Value: $5,194,200.22 | Total POs: 17 | Certifications: ISO9001;REACH | Active Disruptions: Seasonal flood risk; Tariff adjustment pending; Audit overdue; compliance review; Regulatory audit pending; Port congestion risk; Geopolitical tension flag; Labour strike risk"
"Supplier Summary: IndoTech Fab Ltd | ID: SUP-013 | Region: APAC | Country: India | Tier: Tier-2 | Risk Level: Medium | Compliance Score: 89 | Sustainability Score: 67 | Avg OTD Rate: 86.8% | Avg Defect Rate: 1.90% | Total PO Value: $3,752,327.43 | Total POs: 18 | Certifications: ISO9001;RoHS | Active Disruptions: Seasonal flood risk; Geopolitical tension flag; Audit overdue; compliance review; Labour strike risk; Port congestion risk; Regulatory audit pending"
"Supplier Summary: Kaohsiung Pack Co | ID: SUP-036 | Region: APAC | Country: Taiwan | Tier: Tier-2 | Risk Level: Low | Compliance Score: 83 | Sustainability Score: 77 | Avg OTD Rate: 84.7% | Avg Defect Rate: 1.68% | Total PO Value: $1,121,300.49 | Total POs: 17 | Certifications: FSC;ISO9001 | Active Disruptions: Political instability flag; Port closure risk; Geopolitical tension flag; Tariff adjustment pending; Regulatory enforcement pending; Seasonal flood risk"
"Supplier Summary: Kinki Precision Corp | ID: SUP-029 | Region: APAC | Country: Japan | Tier: Tier-1 | Risk Level: Low | Compliance Score: 82 | Sustainability Score: 94 | Avg OTD Rate: 94.2% | Avg Defect Rate: 1.00% | Total PO Value: $864,666.51 | Total POs: 17 | Certifications: ISO9001;AEC-Q100;RoHS | Active Disruptions: Geopolitical tension flag; Tariff adjustment pending"
"Supplier Summary: Konkan Textile Mills | ID: SUP-016 | Region: APAC | Country: India | Tier: Tier-2 | Risk Level: Low | Compliance Score: 88 | Sustainability Score: 54 | Avg OTD Rate: 86.0% | Avg Defect Rate: 1.73% | Total PO Value: $2,363,910.72 | Total POs: 18 | Certifications: OEKO-TEX;ISO9001 | Active Disruptions: Tariff adjustment pending; Seasonal flood risk; Port congestion risk; Export license risk; Political instability flag; Typhoon season disruption; Labour strike risk"
"Supplier Summary: Koryo Alloy Systems | ID: SUP-025 | Region: APAC | Country: South Korea | Tier: Tier-1 | Risk Level: High | Compliance Score: 83 | Sustainability Score: 72 | Avg OTD Rate: 94.3% | Avg Defect Rate: 1.05% | Total PO Value: $3,701,463.07 | Total POs: 18 | Certifications: ISO9001;NADCAP | Active Disruptions: Currency volatility flag; Port congestion risk; Audit overdue; compliance review; Geopolitical tension flag; Regulatory audit pending"
"Supplier Summary: Kovalev Metalburg | ID: SUP-077 | Region: EMEA | Country: Czechia | Tier: Tier-2 | Risk Level: Medium | Compliance Score: 77 | Sustainability Score: 55 | Avg OTD Rate: 85.4% | Avg Defect Rate: 1.45% | Total PO Value: $2,307,546.66 | Total POs: 17 | Certifications: ISO9001;IATF16949 | Active Disruptions: Geopolitical tension flag; Export license risk; Port congestion risk; Seasonal flood risk; Tariff adjustment pending"
"Supplier Summary: Krauss-Polymex GmbH | ID: SUP-046 | Region: EMEA | Country: Germany | Tier: Tier-1 | Risk Level: Low | Compliance Score: 93 | Sustainability Score: 96 | Avg OTD Rate: 93.6% | Avg Defect Rate: 0.94% | Total PO Value: $1,934,117.17 | Total POs: 17 | Certifications: REACH;ISO9001;ISO14001 | Active Disruptions: Regulatory audit pending; Geopolitical tension flag; Seasonal flood risk"
"Supplier Summary: Krungsri Moldtech | ID: SUP-039 | Region: APAC | Country: Thailand | Tier: Tier-2 | Risk Level: Medium | Compliance Score: 84 | Sustainability Score: 77 | Avg OTD Rate: 86.9% | Avg Defect Rate: 1.82% | Total PO Value: $2,033,808.35 | Total POs: 17 | Certifications: ISO9001;IATF16949 | Active Disruptions: Geopolitical tension flag; Tariff adjustment pending; Seasonal flood risk; Audit overdue; compliance review; Regulatory audit pending; Export license risk"
"Supplier Summary: Kyushu Textile Co | ID: SUP-032 | Region: APAC | Country: Japan | Tier: Tier-1 | Risk Level: Medium | Compliance Score: 90 | Sustainability Score: 82 | Avg OTD Rate: 93.2% | Avg Defect Rate: 0.78% | Total PO Value: $483,092.31 | Total POs: 17 | Certifications: OEKO-TEX;ISO9001;ISO14001 | Active Disruptions: Geopolitical tension flag; Audit overdue; compliance review; Political instability flag; Port congestion risk"
"Supplier Summary: Lakeshore Components | ID: SUP-105 | Region: AMER | Country: USA | Tier: Tier-1 | Risk Level: Low | Compliance Score: 96 | Sustainability Score: 81 | Avg OTD Rate: 94.8% | Avg Defect Rate: 0.81% | Total PO Value: $576,320.30 | Total POs: 17 | Certifications: ISO9001;IATF16949;OSHA | Active Disruptions: Port congestion risk; Seasonal flood risk; Typhoon season disruption; Regulatory audit pending; Geopolitical tension flag"
"Supplier Summary: Lima Polymer SA | ID: SUP-096 | Region: LATAM | Country: Peru | Tier: Tier-3 | Risk Level: High | Compliance Score: 52 | Sustainability Score: 50 | Avg OTD Rate: 73.1% | Avg Defect Rate: 2.53% | Total PO Value: $8,457,944.13 | Total POs: 17 | Certifications: ISO9001 | Active Disruptions: Audit overdue; compliance review; Port closure risk; Typhoon season disruption; Export license risk; Regulatory enforcement pending; Labour strike risk; Currency volatility flag; Geopolitical tension flag; Regulatory audit pending"
"Supplier Summary: Lisbon Polymer Lda | ID: SUP-081 | Region: EMEA | Country: Portugal | Tier: Tier-2 | Risk Level: Medium | Compliance Score: 75 | Sustainability Score: 50 | Avg OTD Rate: 87.3% | Avg Defect Rate: 2.06% | Total PO Value: $6,208,222.51 | Total POs: 17 | Certifications: ISO9001;REACH | Active Disruptions: Regulatory enforcement pending; Port congestion risk; Geopolitical tension flag; Seasonal flood risk; Political instability flag; Export license risk; Tariff adjustment pending"
"Supplier Summary: Longhua Polymer Works | ID: SUP-007 | Region: APAC | Country: China | Tier: Tier-3 | Risk Level: Medium | Compliance Score: 68 | Sustainability Score: 50 | Avg OTD Rate: 71.2% | Avg Defect Rate: 2.77% | Total PO Value: $7,102,925.23 | Total POs: 18 | Certifications: ISO9001 | Active Disruptions: Seasonal flood risk; Labour strike risk; Geopolitical tension flag; Political instability flag; Port congestion risk; Port closure risk; Tariff adjustment pending; Audit overdue; compliance review"
