text_chunk
"Purchase Order PO-10001 | Supplier: Orrentek Precision Mfg (ID: SUP-001) | Region: APAC | Country: China | Tier: Tier-1 | Risk Level: Low | Product Category: Electronic Components | SKU: SKU-EC-1001 | PO Value: $70,121.14 | Units Ordered: 9013 | Units Delivered On Time: 8598 | Units Rejected: 12 | OTD Rate: 95.4% | Defect Rate: 0.14% | Compliance Score: 88 | Sustainability Score: 77 | Lead Time: 14 days | Certifications: ISO9001;ISO14001;RoHS | Last Audit: 2023-08-12 | Active Disruption: No active disruption | Quarter: Q1-2023"
"Purchase Order PO-10029 | Supplier: Kinki Precision Corp (ID: SUP-029) | Region: APAC | Country: Japan | Tier: Tier-1 | Risk Level: Low | Product Category: Electronic Components | SKU: SKU-EC-1009 | PO Value: $63,614.36 | Units Ordered: 6599 | Units Delivered On Time: 6110 | Units Rejected: 37 | OTD Rate: 92.6% | Defect Rate: 0.57% | Compliance Score: 82 | Sustainability Score: 94 | Lead Time: 40 days | Certifications: ISO9001;AEC-Q100;RoHS | Last Audit: 2024-08-17 | Active Disruption: No active disruption | Quarter: Q1-2024"
"Purchase Order PO-10030 | Supplier: Osaka Polymer Systems (ID: SUP-030) | Region: APAC | Country: Japan | Tier: Tier-1 | Risk Level: Low | Product Category: Raw Materials | SKU: SKU-RM-1004 | PO Value: $74,369.82 | Units Ordered: 4701 | Units Delivered On Time: 4658 | Units Rejected: 25 | OTD Rate: 99.1% | Defect Rate: 0.55% | Compliance Score: 83 | Sustainability Score: 89 | Lead Time: 28 days | Certifications: ISO9001;ISO14001;REACH | Last Audit: 2024-03-22 | Active Disruption: No active disruption | Quarter: Q1-2024"
"Purchase Order PO-10031 | Supplier: Sendai Mech Works (ID: SUP-031) | Region: APAC | Country: Japan | Tier: Tier-1 | Risk Level: Medium | Product Category: Mechanical Components | SKU: SKU-MC-1007 | PO Value: $13,831.20 | Units Ordered: 5424 | Units Delivered On Time: 4773 | Units Rejected: 90 | OTD Rate: 88.0% | Defect Rate: 1.67% | Compliance Score: 97 | Sustainability Score: 91 | Lead Time: 20 days | Certifications: ISO9001;IATF16949 | Last Audit: 2023-11-04 | Active Disruption: Port congestion risk | Quarter: Q2-2024"
"Purchase Order PO-10032 | Supplier: Kyushu Textile Co (ID: SUP-032) | Region: APAC | Country: Japan | Tier: Tier-1 | Risk Level: Medium | Product Category: Industrial Textiles | SKU: SKU-IT-1004 | PO Value: $21,982.55 | Units Ordered: 5297 | Units Delivered On Time: 4968 | Units Rejected: 65 | OTD Rate: 93.8% | Defect Rate: 1.23% | Compliance Score: 90 | Sustainability Score: 82 | Lead Time: 16 days | Certifications: OEKO-TEX;ISO9001;ISO14001 | Last Audit: 2024-07-15 | Active Disruption: Geopolitical tension flag | Quarter: Q1-2024"
"Purchase Order PO-10033 | Supplier: Precisionforge Taiyuan (ID: SUP-033) | Region: APAC | Country: Taiwan | Tier: Tier-1 | Risk Level: Medium | Product Category: Mechanical Components | SKU: SKU-MC-1008 | PO Value: $61,212.24 | Units Ordered: 15003 | Units Delivered On Time: 14642 | Units Rejected: 93 | OTD Rate: 97.6% | Defect Rate: 0.62% | Compliance Score: 86 | Sustainability Score: 83 | Lead Time: 28 days | Certifications: ISO9001;IATF16949 | Last Audit: 2023-03-28 | Active Disruption: Tariff adjustment pending | Quarter: Q3-2023"
"Purchase Order PO-10034 | Supplier: Formosa Circuit Co (ID: SUP-034) | Region: APAC | Country: Taiwan | Tier: Tier-1 | Risk Level: Low | Product Category: Electronic Components | SKU: SKU-EC-1010 | PO Value: $95,371.20 | Units Ordered: 21480 | Units Delivered On Time: 19611 | Units Rejected: 264 | OTD Rate: 91.3% | Defect Rate: 1.23% | Compliance Score: 99 | Sustainability Score: 80 | Lead Time: 23 days | Certifications: ISO9001;AEC-Q100;RoHS | Last Audit: 2024-09-17 | Active Disruption: No active disruption | Quarter: Q4-2023"
"Purchase Order PO-10035 | Supplier: Yulon Alloy Mfg (ID: SUP-035) | Region: APAC | Country: Taiwan | Tier: Tier-2 | Risk Level: Low | Product Category: Specialty Alloys | SKU: SKU-SA-1005 | PO Value: $732,159.00 | Units Ordered: 42444 | Units Delivered On Time: 39218 | Units Rejected: 254 | OTD Rate: 92.4% | Defect Rate: 0.6% | Compliance Score: 80 | Sustainability Score: 84 | Lead Time: 34 days | Certifications: ISO9001 | Last Audit: 2023-08-13 | Active Disruption: No active disruption | Quarter: Q2-2023"
"Purchase Order PO-10036 | Supplier: Kaohsiung Pack Co (ID: SUP-036) | Region: APAC | Country: Taiwan | Tier: Tier-2 | Risk Level: Low | Product Category: Packaging Materials | SKU: SKU-PM-1005 | PO Value: $22,935.36 | Units Ordered: 20478 | Units Delivered On Time: 16587 | Units Rejected: 630 | OTD Rate: 81.0% | Defect Rate: 3.08% | Compliance Score: 83 | Sustainability Score: 77 | Lead Time: 19 days | Certifications: FSC;ISO9001 | Last Audit: 2024-09-19 | Active Disruption: No active disruption | Quarter: Q2-2024"
"Purchase Order PO-10037 | Supplier: Straits Packaging Hub (ID: SUP-037) | Region: APAC | Country: Singapore | Tier: Tier-1 | Risk Level: High | Product Category: Packaging Materials | SKU: SKU-PM-1006 | PO Value: $17,082.78 | Units Ordered: 5973 | Units Delivered On Time: 5817 | Units Rejected: 96 | OTD Rate: 97.4% | Defect Rate: 1.62% | Compliance Score: 93 | Sustainability Score: 96 | Lead Time: 36 days | Certifications: ISO9001;ISO14001 | Last Audit: 2024-05-11 | Active Disruption: Political instability flag | Quarter: Q1-2024"
"Purchase Order PO-10038 | Supplier: Singamold Tech (ID: SUP-038) | Region: APAC | Country: Singapore | Tier: Tier-1 | Risk Level: Low | Product Category: Mechanical Components | SKU: SKU-MC-1009 | PO Value: $34,263.24 | Units Ordered: 5654 | Units Delivered On Time: 5382 | Units Rejected: 32 | OTD Rate: 95.2% | Defect Rate: 0.57% | Compliance Score: 82 | Sustainability Score: 92 | Lead Time: 25 days | Certifications: ISO9001;IATF16949 | Last Audit: 2023-08-08 | Active Disruption: No active disruption | Quarter: Q3-2024"
"Purchase Order PO-10039 | Supplier: Krungsri Moldtech (ID: SUP-039) | Region: APAC | Country: Thailand | Tier: Tier-2 | Risk Level: Medium | Product Category: Mechanical Components | SKU: SKU-MC-1010 | PO Value: $341,879.02 | Units Ordered: 47026 | Units Delivered On Time: 37197 | Units Rejected: 724 | OTD Rate: 79.1% | Defect Rate: 1.54% | Compliance Score: 84 | Sustainability Score: 77 | Lead Time: 18 days | Certifications: ISO9001;IATF16949 | Last Audit: 2023-01-07 | Active Disruption: Geopolitical tension flag | Quarter: Q3-2024"
"Purchase Order PO-10040 | Supplier: Chaophaya Pack (ID: SUP-040) | Region: APAC | Country: Thailand | Tier: Tier-2 | Risk Level: Medium | Product Category: Packaging Materials | SKU: SKU-PM-1007 | PO Value: $107,064.54 | Units Ordered: 51722 | Units Delivered On Time: 48618 | Units Rejected: 641 | OTD Rate: 94.0% | Defect Rate: 1.24% | Compliance Score: 79 | Sustainability Score: 74 | Lead Time: 35 days | Certifications: FSC;ISO9001 | Last Audit: 2023-01-30 | Active Disruption: No active disruption | Quarter: Q3-2024"
"Purchase Order PO-10041 | Supplier: Archipelago Pcb Corp (ID: SUP-041) | Region: APAC | Country: Philippines | Tier: Tier-3 | Risk Level: High | Product Category: Electronic Components | SKU: SKU-EC-1011 | PO Value: $105,071.88 | Units Ordered: 13628 | Units Delivered On Time: 9607 | Units Rejected: 464 | OTD Rate: 70.5% | Defect Rate: 3.41% | Compliance Score: 75 | Sustainability Score: 55 | Lead Time: 47 days | Certifications: ISO9001 | Last Audit: 2024-04-17 | Active Disruption: Labour strike risk | Quarter: Q3-2024"
"Purchase Order PO-10042 | Supplier: Visayas Textile Co (ID: SUP-042) | Region: APAC | Country: Philippines | Tier: Tier-3 | Risk Level: Medium | Product Category: Industrial Textiles | SKU: SKU-IT-1005 | PO Value: $248,461.75 | Units Ordered: 48245 | Units Delivered On Time: 31311 | Units Rejected: 993 | OTD Rate: 64.9% | Defect Rate: 2.06% | Compliance Score: 60 | Sustainability Score: 43 | Lead Time: 39 days | Certifications: OEKO-TEX;ISO9001 | Last Audit: 2023-01-20 | Active Disruption: Port congestion risk | Quarter: Q2-2023"
"Purchase Order PO-10043 | Supplier: Tasman Circuit Boards (ID: SUP-043) | Region: APAC | Country: Australia | Tier: Tier-1 | Risk Level: Medium | Product Category: Electronic Components | SKU: SKU-EC-1012 | PO Value: $6,524.46 | Units Ordered: 1623 | Units Delivered On Time: 1567 | Units Rejected: 3 | OTD Rate: 96.6% | Defect Rate: 0.19% | Compliance Score: 91 | Sustainability Score: 77 | Lead Time: 10 days | Certifications: ISO9001;AEC-Q100;RoHS | Last Audit: 2023-04-28 | Active Disruption: No active disruption | Quarter: Q3-2023"
"Purchase Order PO-10044 | Supplier: Broken Hill Alloys (ID: SUP-044) | Region: APAC | Country: Australia | Tier: Tier-1 | Risk Level: Low | Product Category: Specialty Alloys | SKU: SKU-SA-1006 | PO Value: $59,730.30 | Units Ordered: 4990 | Units Delivered On Time: 4715 | Units Rejected: 23 | OTD Rate: 94.5% | Defect Rate: 0.47% | Compliance Score: 88 | Sustainability Score: 94 | Lead Time: 15 days | Certifications: ISO9001;NADCAP | Last Audit: 2023-07-23 | Active Disruption: No active disruption | Quarter: Q3-2024"
"Purchase Order PO-10045 | Supplier: Sibertek Molding (ID: SUP-045) | Region: APAC | Country: Russia | Tier: Tier-3 | Risk Level: Medium | Product Category: Mechanical Components | SKU: SKU-MC-1011 | PO Value: $484,149.45 | Units Ordered: 73245 | Units Delivered On Time: 45485 | Units Rejected: 2548 | OTD Rate: 62.1% | Defect Rate: 3.48% | Compliance Score: 70 | Sustainability Score: 45 | Lead Time: 37 days | Certifications: ISO9001 | Last Audit: 2023-03-12 | Active Disruption: No active disruption | Quarter: Q3-2024"
"Purchase Order PO-10046 | Supplier: Krauss-Polymex Gmbh (ID: SUP-046) | Region: EMEA | Country: Germany | Tier: Tier-1 | Risk Level: Low | Product Category: Raw Materials | SKU: SKU-RM-1005 | PO Value: $199,337.95 | Units Ordered: 11915 | Units Delivered On Time: 11176 | Units Rejected: 81 | OTD Rate: 93.8% | Defect Rate: 0.68% | Compliance Score: 93 | Sustainability Score: 96 | Lead Time: 35 days | Certifications: REACH;ISO9001;ISO14001 | Last Audit: 2023-10-04 | Active Disruption: No active disruption | Quarter: Q3-2023"
"Purchase Order PO-10047 | Supplier: Rheinwerk Precision Ag (ID: SUP-047) | Region: EMEA | Country: Germany | Tier: Tier-1 | Risk Level: Low | Product Category: Mechanical Components | SKU: SKU-MC-1012 | PO Value: $27,295.80 | Units Ordered: 7035 | Units Delivered On Time: 6690 | Units Rejected: 116 | OTD Rate: 95.1% | Defect Rate: 1.66% | Compliance Score: 95 | Sustainability Score: 84 | Lead Time: 25 days | Certifications: ISO9001;IATF16949 | Last Audit: 2024-04-20 | Active Disruption: No active disruption | Quarter: Q4-2024"
"Purchase Order PO-10048 | Supplier: Berliner Pack Gmbh (ID: SUP-048) | Region: EMEA | Country: Germany | Tier: Tier-1 | Risk Level: Low | Product Category: Packaging Materials | SKU: SKU-PM-1008 | PO Value: $9,405.32 | Units Ordered: 6442 | Units Delivered On Time: 6094 | Units Rejected: 79 | OTD Rate: 94.6% | Defect Rate: 1.24% | Compliance Score: 90 | Sustainability Score: 70 | Lead Time: 28 days | Certifications: FSC;ISO14001;ISO9001 | Last Audit: 2023-01-11 | Active Disruption: No active disruption | Quarter: Q1-2024"
"Purchase Order PO-10049 | Supplier: Munich Alloy Technik (ID: SUP-049) | Region: EMEA | Country: Germany | Tier: Tier-1 | Risk Level: Low | Product Category: Specialty Alloys | SKU: SKU-SA-1007 | PO Value: $196,346.80 | Units Ordered: 7930 | Units Delivered On Time: 7446 | Units Rejected: 33 | OTD Rate: 93.9% | Defect Rate: 0.42% | Compliance Score: 87 | Sustainability Score: 93 | Lead Time: 23 days | Certifications: ISO9001;NADCAP;AS9100 | Last Audit: 2024-02-19 | Active Disruption: No active disruption | Quarter: Q1-2024"
"Purchase Order PO-10050 | Supplier: Dresdner Textilwerk (ID: SUP-050) | Region: EMEA | Country: Germany | Tier: Tier-2 | Risk Level: Medium | Product Category: Industrial Textiles | SKU: SKU-IT-1006 | PO Value: $175,561.88 | Units Ordered: 31018 | Units Delivered On Time: 27854 | Units Rejected: 390 | OTD Rate: 89.8% | Defect Rate: 1.26% | Compliance Score: 85 | Sustainability Score: 71 | Lead Time: 28 days | Certifications: OEKO-TEX;ISO9001 | Last Audit: 2023-11-10 | Active Disruption: Port congestion risk | Quarter: Q4-2024"
